ID	m/z	         RT
932	348.13417	7.18
933	324.19437	7.21
934	318.20481	7.24
935	217.10799	7.27
936	399.22594	7.29
937	270.03246	7.3
938	473.17141	7.3
939	302.05958	7.31
940	308.22255	7.34
941	270.03231	7.38
942	192.10119	7.38
943	236.12704	7.39
944	273.13894	7.39
945	309.21811	7.39
946	311.22233	7.4
947	260.04108	7.4
948	258.04419	7.41
949	339.08125	7.42
950	302.05865	7.44
951	275.15421	7.48
952	258.04354	7.5
953	273.1382	7.5
954	315.09084	7.5
955	339.08048	7.5
956	310.21907	7.5
957	308.22162	7.51
958	378.08959	7.55
959	275.15379	7.56
960	309.21532	7.57
961	316.09205	7.58
962	422.1804	7.6
963	315.09029	7.6
964	416.22657	7.61
965	275.15392	7.64
966	433.2527	7.65
967	185.08007	7.69
968	264.0536	7.69
969	300.13673	7.69
970	340.10581	7.69
971	353.14034	7.69
972	355.13699	7.69
973	189.99875	7.7
974	224.02162	7.7
975	251.15383	7.7
976	362.08698	7.7
977	184.09618	7.71
978	357.13285	7.71
979	385.16308	7.71
980	188.00177	7.71
981	282.06372	7.71
982	322.09468	7.71
983	701.18515	7.71
984	295.14312	7.79
985	357.13194	7.8
986	385.16237	7.8
987	340.10523	7.81
988	135.04351	7.82
989	389.12599	7.83
990	391.12304	7.84
991	357.13161	7.87
992	553.33215	7.88
993	508.27489	7.93
994	389.12506	7.94
995	265.16988	7.95
996	363.10949	7.98
997	239.08875	8.01
998	389.12477	8.02
999	553.33162	8.02
1000	276.02613	8.05
1001	274.02921	8.05
1002	362.14965	8.08
1003	239.08873	8.11
1004	340.21737	8.11
1005	338.2116	8.12
1006	239.08809	8.13
1007	338.21126	8.22
1008	339.2138	8.24
1009	338.21077	8.3
1010	356.11428	8.3
1011	270.07551	8.3
1012	477.27861	8.31
1013	284.24345	8.32
1014	460.25323	8.32
1015	283.10703	8.41
1016	197.07993	8.49
1017	324.19577	8.5
1018	272.05955	8.55
1019	274.05653	8.55
1020	452.19253	8.59
1021	324.1947	8.63
1022	387.1357	8.64
1023	603.39915	8.64
1024	453.19416	8.66
1025	452.1911	8.7
1026	392.10533	8.71
1027	139.03787	8.71
1028	238.14281	8.73
1029	338.21159	8.77
1030	340.21664	8.77
1031	238.14278	8.81
1032	314.10464	8.81
1033	316.10156	8.81
1034	238.14224	8.88
1035	239.08767	8.9
1036	310.20129	8.9
1037	314.10405	8.91
1038	161.04073	8.92
1039	338.20976	8.96
1040	325.2278	9.01
1041	233.16402	9.02
1042	327.23232	9.03
1043	504.27884	9.03
1044	474.17215	9.07
1045	379.19979	9.1
1046	326.22962	9.14
1047	217.09123	9.15
1048	475.17419	9.15
1049	217.09294	9.17
1050	277.04898	9.18
1051	415.14506	9.18
1052	215.01307	9.19
1053	234.12715	9.19
1054	273.05523	9.19
1055	275.05237	9.19
1056	417.14978	9.19
1057	277.16878	9.19
1058	474.17117	9.19
1059	217.01005	9.21
1060	217.09025	9.22
1061	204.13755	9.24
1062	275.05171	9.28
1063	215.01264	9.29
1064	416.14622	9.29
1065	224.07342	9.3
1066	217.09482	9.31
1067	356.11555	9.31
1068	273.05483	9.34
1069	415.14372	9.35
1070	294.18435	9.37
1071	401.15318	9.46
1072	217.10685	9.54
1073	402.15445	9.55
1074	401.15118	9.6
1075	721.45473	9.63
1076	720.45193	9.68
1077	204.10133	9.69
1078	283.05711	9.71
1079	231.02853	9.72
1080	261.07626	9.74
1081	263.08028	9.74
1082	415.16813	9.74
1083	543.12455	9.74
1084	313.13589	9.75
1085	246.05162	9.76
1086	548.30543	9.77
1087	402.24159	9.81
1088	720.45053	9.81
1089	275.05214	9.84
1090	262.07811	9.84
1091	273.0552	9.85
1092	215.01289	9.85
1093	376.14652	9.86
1094	378.14374	9.87
1095	416.16968	9.87
1096	337.1966	9.88
1097	265.1321	9.91
1098	256.09711	9.92
1099	296.17584	9.92
1100	298.18017	9.92
1101	415.16699	9.93
1102	376.14592	9.95
1103	296.17476	10.03
1104	256.09626	10.04
1105	390.03559	10.07
1106	388.03761	10.07
1107	327.15208	10.08
1108	256.09607	10.1
1109	295.14293	10.13
1110	299.10809	10.15
1111	217.1064	10.18
1112	327.15119	10.18
1113	734.46815	10.18
1114	217.10776	10.21
1115	217.10756	10.23
1116	466.1895	10.24
1117	259.0202	10.27
1118	261.01607	10.28
1119	468.18721	10.28
1120	314.23707	10.31
1121	312.23216	10.31
1122	111.04365	10.31
1123	210.11204	10.32
1124	153.09017	10.34
1125	467.19128	10.34
1126	468.1862	10.34
1127	159.09036	10.35
1128	168.0649	10.35
1129	289.15018	10.35
1130	297.23153	10.35
1131	203.06612	10.36
1132	228.1632	10.36
1133	734.46599	10.36
1134	255.16938	10.37
1135	466.18847	10.37
1136	312.20027	10.42
1137	312.22966	10.42
1138	592.33136	10.47
1139	111.04328	10.47
1140	203.06497	10.47
1141	228.66513	10.47
1142	265.13227	10.52
1143	310.19186	10.52
1144	312.197	10.52
1145	312.226	10.52
1146	592.3306	10.58
1147	281.09845	10.59
1148	224.12783	10.61
1149	306.13428	10.61
1150	361.15549	10.61
1151	259.11638	10.62
1152	155.06946	10.62
1153	311.19326	10.64
1154	163.11086	10.65
1155	416.2209	10.66
1156	258.07548	10.7
1157	310.19124	10.71
1158	217.10871	10.71
1159	422.09513	10.73
1160	424.09992	10.74
1161	420.09668	10.74
1162	361.15466	10.75
1163	416.22026	10.76
1164	224.12729	10.77
1165	319.16176	10.8
1166	258.07505	10.81
1167	314.08353	10.83
1168	421.09894	10.84
1169	319.16096	10.89
1170	420.09563	10.91
1171	422.09358	10.91
1172	398.20751	10.96
1173	400.21149	10.96
1174	399.20945	11.05
1175	398.2071	11.06
1176	146.04639	11.08
1177	176.04434	11.09
1178	239.08894	11.11
1179	399.20785	11.11
1180	453.1863	11.12
1181	398.20626	11.13
1182	239.08994	11.16
1183	636.35782	11.2
1184	416.25637	11.22
1185	239.08719	11.3
1186	341.17319	11.32
1187	264.17498	11.55
1188	266.18028	11.56
1189	400.22498	11.56
1190	191.08468	11.57
1191	233.13162	11.57
1192	356.11474	11.64
1193	154.04904	11.66
1194	210.11178	11.68
1195	265.17687	11.71
1196	352.09429	11.72
1197	217.11325	11.75
1198	310.08479	11.75
1199	274.15933	11.82
1200	680.38352	11.89
1201	274.15835	11.93
1202	288.17509	11.97
1203	290.18072	11.98
1204	289.17748	12.1
1205	430.23565	12.17
1206	269.15261	12.19
1207	199.14709	12.21
1208	287.1626	12.21
1209	305.17306	12.21
1210	209.13135	12.22
1211	317.00295	12.31
1212	340.07905	12.31
1213	589.03512	12.33
1214	279.99752	12.35
1215	295.02233	12.35
1216	297.01826	12.35
1217	219.17324	12.36
1218	264.23107	12.38
1219	568.1715	12.4
1220	117.06916	12.42
1221	274.1588	12.42
1222	141.06912	12.44
1223	340.07808	12.45
1224	297.01814	12.45
1225	222.1115	12.46
1226	296.02378	12.47
1227	424.1348	12.5
1228	422.13757	12.51
1229	724.40926	12.55
1230	258.10969	12.66
1231	319.16296	12.67
1232	321.16716	12.68
1233	258.10907	12.76
1234	320.16484	12.79
1235	319.16199	12.8
1236	298.12531	12.82
1237	154.06742	12.83
1238	225.10115	12.85
1239	208.13253	12.97
1240	489.259	13.03
1241	290.18902	13.04
1242	441.27369	13.04
1243	330.20613	13.09
1244	312.19516	13.1
1245	241.13346	13.11
1246	441.27296	13.17
1247	286.13949	13.17
1248	117.06909	13.19
